name,house_type,position,room_type,area,unit_price,total_price
尊悦日坛,商业类,日坛北路19号,1,90,63000,775
天恒摩墅,别墅,周口店镇政府东200米,3,150,23000,425
鲁能・格拉斯小镇,别墅,北京市通州区宋庄镇格拉斯小镇营销中心,4,317,62000,1762
兴创荣墅,别墅,北京市大兴区育胜街,4,380,25000,1135
丽都壹号,住宅,"将台路与驼房营路交叉口向北150米, 将府家园北里",2,91,95000,875
韩建・观山源墅,住宅,阳光北大街与多宝路交汇处西南（理工大学北校区西侧）,4,121,40000,557
北辰墅院1900,住宅,顺兴街11号院望尊园,2,109,36000,467
润泽御府,别墅,北京市朝阳区北五环顾家庄桥向北约2.6公里,4,1115,120000,7219
兴创国际中心,写字楼,西红门镇欣宁街与宏康路交叉口向西500米,0,1450,38000,5075
达美中心广场,写字楼,"姚家园路甲118号, 青年路7号院",,,48000,1200
燕西华府,别墅,"王佐镇青龙湖公园东1500米, 泉湖西路1号院（七区）, 泉湖西路1号院（六区）",3,523,52000,3440
京西悦府,住宅,燕房线阎村地铁站东南角约189米,3,127,33000,445
合景寰汇公馆,住宅,北京市通州区滨河中路西侧（合景寰汇公馆）,2,97,42000,425
K2十里春风,住宅,北京市通州区,2,81,24500,208
K2十里春风,别墅,北京市通州区,3,155,28000,431
玺萌壹院,别墅,西南三环嘉园路与镇国寺北街交叉口,5,392,90000,3540
北京书院,住宅,北京市朝阳区北土城东路辅路,2,103,145000,1585
旭辉26号街区,商业,"临空经济核心区南法信地铁站南300米, 信中北街16号院",1,27,27000,77
金隅上城郡,别墅,北亚花园东路50米,4,307,45000,1290
中铁华侨城和园,住宅,南五环南海子公园西侧约500米,3,169,60000,950
顺鑫颐和天Z,住宅,新城右堤路与昌金路交汇处向北200米,3,165,33000,450
顺鑫颐和天Z,别墅,新城右堤路与昌金路交汇处向北200米,4,382,33000,1075
未来公元,住宅,京承高速北七家出口800米路南,3,136,61183,810
北京城建北京合院,住宅,燕京街与通顺路交汇口东800米(仁和公园南),3,112,47000,563
复地运河公馆,住宅,通州运河核心区临滨河西路,2,117,43000,525
北京城建北京合院,别墅,燕京街与通顺路交汇口东800米(仁和公园南),4,270,45000,1100
月亮河七星公馆,住宅,通燕高速耿庄桥出口南200米月亮河，河滨路1号,2,82,68000,587
天润福熙大道,住宅,"清河营东路1号院, 清河营东路3号院",3,276,120000,2152
元熙华府,住宅,东南三环东铁营桥向南600米,3,136,87000,1206
京贸国际公馆,住宅,怡乐中路299号院（广渠快速路二期出口向南1000米）,2,109,64000,722
凯德麓语,别墅,兴寿镇京承高速G11出口向西怀昌路北侧,5,571,35000,2100
京贸国际城・峰景,住宅,芙蓉东路1号（通燕高速耿庄桥北出口向南300米）,2,104,68000,695
观唐云鼎,别墅,溪翁庄镇密溪路39号院（云佛山度假村对面）,4,485,30000,1459
檀香府,住宅,京潭大街与潭柘十街交叉口,3,147,43000,640
金樾和著,住宅,房山区良常路官道路口西800米,4,127,29000,360
尊悦光华,住宅,北京市朝阳区光华东里甲1号院3号楼,3,152,150000,2640
中海云筑,住宅,北京市大兴区团结路,3,159,340,
中海云筑,别墅,京开高速庞各庄桥西1500米，团结路北（庞各庄镇宏轩饺子馆儿对面）,3,266,28000,750
远洋五里春秋,住宅,五里坨黑石头路前行500m,3,290,52024,1000
首创・河著,别墅,京承高速11出口（昌金路）向东900 米路北,4,279,41000,1550
华萃西山,住宅,永定镇地铁S1号线石厂西南700米,3,104,48000,580
京西悦府,别墅,北京市房山区燕房线阎村地铁站东南角约189米,3,175,45000,836
龙湾别墅,住宅,后沙峪镇龙湾别墅,4,267,70000,2300
京投发展・锦悦府,住宅,檀营乡檀东路西侧,3,84,25607,220
远洋五里春秋,别墅,五里坨黑石头路前行500m,4,415,54625,1415
公园十七区,住宅,顺义区后沙峪火沙路和裕庆路交汇口北500米,3,190,42000,975
金辰府,住宅,北京市昌平区北七家镇政府东南100米,3,116,55000,640
龙湖熙湖悦著,住宅,大苑村收费站出口（良坨路桥）左行200米,3,213,37000,550
北京华发中央公园,住宅,北京市房山区长于南大街与黄良路交叉口华发中央公园售楼处,3,112,40000,535
建邦・顺颐府,住宅,空港B区裕民大街30号千里马国际一层建邦・顺颐府售楼中心,4,118,55583,845
